date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:58	75217/75217	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:28%20GMT	https://marketpresso.com/special/images/test4.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test4.png	(from https://marketpresso.com/special/)
15:13:59	69629/69629	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:26%20GMT	https://marketpresso.com/special/images/test18.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test18.png	(from https://marketpresso.com/special/)
15:13:59	66485/66485	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:27%20GMT	https://marketpresso.com/special/images/test19.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test19.png	(from https://marketpresso.com/special/)
15:13:59	26885/26885	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:27%20GMT	https://marketpresso.com/special/images/test2.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test2.png	(from https://marketpresso.com/special/)
15:13:59	36137/36137	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:21%20GMT	https://marketpresso.com/special/images/test10.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test10.png	(from https://marketpresso.com/special/)
15:13:59	26994/26994	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:23%20GMT	https://marketpresso.com/special/images/test13.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test13.png	(from https://marketpresso.com/special/)
15:14:00	23728/23728	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:23%20GMT	https://marketpresso.com/special/images/test14.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test14.png	(from https://marketpresso.com/special/)
15:14:00	41918/41918	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:29%20GMT	https://marketpresso.com/special/images/test5.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test5.png	(from https://marketpresso.com/special/)
15:14:00	29980/29980	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:24%20GMT	https://marketpresso.com/special/images/test16.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test16.png	(from https://marketpresso.com/special/)
15:14:01	2428/2428	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:31%20GMT	https://marketpresso.com/special/images/arrow.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/arrow.png	(from https://marketpresso.com/special/)
15:14:01	2457/2457	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:32%20GMT	https://marketpresso.com/special/images/arrow1.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/arrow1.png	(from https://marketpresso.com/special/)
15:14:01	13696/13696	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:53%20GMT	https://marketpresso.com/special/images/icone1.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/icone1.png	(from https://marketpresso.com/special/)
15:14:02	13974/13974	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:54%20GMT	https://marketpresso.com/special/images/icone2.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/icone2.png	(from https://marketpresso.com/special/)
15:14:02	14245/14245	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:54%20GMT	https://marketpresso.com/special/images/icone3.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/icone3.png	(from https://marketpresso.com/special/)
15:14:03	205491/205491	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:01%20GMT	https://marketpresso.com/special/images/male1.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/male1.png	(from https://marketpresso.com/special/)
15:14:03	4139/4139	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:55%20GMT	https://marketpresso.com/special/images/iconf1.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/iconf1.png	(from https://marketpresso.com/special/)
15:14:03	3864/3864	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:56%20GMT	https://marketpresso.com/special/images/iconf2.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/iconf2.png	(from https://marketpresso.com/special/)
